"Propietario","Fecha Operación","Sistema Eléctrico ","Coordenada Este","Coordenada Norte","Datum","Uso","nombre","estado","Región","Provincia","Comuna","Tipo ","Potencia MW","Unidades","rca"
"HIDROELECTRICA MAISAN SPA","2013","SIC","182611,00","5678630,00","WGS84","19","MAISAN","EN OPERACION","IX REGION DE LA ARAUCANIA","CAUTIN","PITRUFQUEN","HIDROELECTRICA MENOR A 20 MW","0,60","2","NA"
"AES GENER S.A.","1923","SIC","382836,00","6289164,00","WGS84","19","MAITENES","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","SAN JOSE DE MAIPO","HIDROELECTRICA MAYOR A 20 MW","31,00","5","SIN RCA"
"HIDROELECTRICA MALLARAUCO S.A.","2011","SIC","313991,00","6281790,00","WGS84","19","MALLARAUCO","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","MELIPILLA","MELIPILLA","HIDROELECTRICA MENOR A 20 MW","3,40","1","RCA 459/2010"
"DUKE ENERGY","01/03/2000","SIC","260786,00","5842176,00","WGS84","19","MAMPIL","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","SANTA BARBARA","HIDROELECTRICA MAYOR A 20 MW","55,00","2","RCA 200/1996"
"GENERADORA ELECTRICA MARIA ELENA LTDA.","S/I","SIC","205658,00","5480710,00","WGS84","19","MARIA ELENA","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUYEHUE","HIDROELECTRICA MENOR A 20 MW","0,30","1","SIN RCA"
"HIDRO LIRCAY S.A.","2011","SIC","294883,00","6058490,00","WGS84","19","MARIPOSAS","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MENOR A 20 MW","6,30","1","RCA 139/2009 / RCA 135/2010"
"HIDROBONITO S.A.","2007","SIC","213378,00","5464790,00","WGS84","19","HIDROBONITO MC 1","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUERTO OCTAY","HIDROELECTRICA MENOR A 20 MW","9,00","2","RCA 1/2012"
"HIDROBONITO S.A.","2013","SIC","213378,00","5464790,00","WGS84","19","HIDROBONITO MC 2","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUERTO OCTAY","HIDROELECTRICA MENOR A 20 MW","3,20","1","RCA 1/2012"
"EDELAYSEN S.A.","2013","AYSEN","262408,00","4915840,00","WGS84","19","MONREAL","EN OPERACION","XI REGION DE AYSEN","COYHAIQUE","LAGO VERDE","HIDROELECTRICA MENOR A 20 MW","3,00","1","NA"
"HIDROMUCHI S.A.","2011","SIC","225803,00","5532143,00","WGS84","19","MUCHI","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","LAGO RANCO","HIDROELECTRICA MENOR A 20 MW","1,00","2","RCA 22/2010"
"HIDRONALCAS S.A","2012","SIC","218628,00","5467510,00","WGS84","19","NALCAS","EN OPERACION","X REGION DE LOS LAGOS","OSORNO","PUERTO OCTAY","HIDROELECTRICA MENOR A 20 MW","6,80","2","RCA 420/2009"
"ENDESAECO S.A.","2008","SIC","336641,00","6038290,00","WGS84","19","OJOS DE AGUA","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MENOR A 20 MW","9,00","1","RCA 11/2006"
"ENDESA","2007","SIC","282538,00","5786800,00","WGS84","19","PALMUCHO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","ALTO BIOBIO","HIDROELECTRICA MAYOR A 20 MW","32,00","1","RCA 231/2005"
"ENDESA","1996","SIC","270364,00","5800866,00","WGS84","19","PANGUE","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","ALTO BIOBIO","HIDROELECTRICA MAYOR A 20 MW","467,00","2","SIN RCA"
