"Nombre Central","Latitud","Longitud","Altitud","-"
"DIESEL ZOFRI (ZOFRI_2-5)","-20.2061963978219","-70.1294343875949","0.0",""
"ESTANDARTES (ZOFRI_13)","-20.2065043162879","-70.1293217582711","0.0",""
"ESTANDARTES (ZOFRI_7-12)","-20.2065043162879","-70.1293217582711","0.0",""
"INACAL","-23.7818534371791","-70.3201761869208","0.0",""
"LA HUAYCA SPS-1","-20.4333281866208","-69.5999954562854","0.0",""
"MANTOS BLANCOS","-23.4449997733037","-70.0758063361434","0.0",""
"POZO ALMONTE SOLAR 2","-20.2717042454059","-69.7559451098362","0.0",""
"POZO ALMONTE SOLAR 3","-20.2516595617963","-69.7587874056971","0.0",""
"TERMOELÉCTRICA  ANGAMOS 2 (ANG2)","-23.0676824063358","-70.3690366961064","0.0",""
"TERMOELÉCTRICA MEJILLONES (CTM1)","-23.085414162353","-70.409999616478","0.0",""
"TERMOELÉCTRICA MEJILLONES (CTM2)","-23.085414162353","-70.409999616478","0.0",""
"TERMOELÉCTRICA MEJILLONES (CTM3)","-23.085414162353","-70.409999616478","0.0",""
"TERMOELÉCTRICA NORGENER (NTO1)","-22.0969534253628","-70.2109126498349","0.0",""
"TERMOELÉCTRICA NORGENER (NTO2)","-22.0969534253628","-70.2109126498349","0.0",""
"TERMOELÉCTRICA TARAPACÁ (CTTAR)","-20.8056877992082","-70.1928471918568","0.0",""
"TERMOELÉCTRICA TARAPACÁ (TGTAR)","-20.8056877992082","-70.1928471918568","0.0",""
"TERMOELÉCTRICA TOCOPILLA (TG1)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (TG2)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (TG3)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U10)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U11)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U12)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U13)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U14)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U15)","-22.091042598621","-70.2125681223899","0.0",""
"TERMOELÉCTRICA TOCOPILLA (U16)","-22.091042598621","-70.2125681223899","0.0",""
"VALLE DE LOS VIENTOS","-22.4802703309012","-68.8235580102671","0.0",""
