NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
Cawse Nickel Mine,AUS0000415,16.5,2012,Australia,,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-30.380805807999934,121.16348091600003,,Gas,,,,,,,,,
Cethana,AUS0000144,100.0,2012,Australia,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-41.48023699999993,146.13484900000003,,Hydro,,,,,,,,,
Challicum Hills Wind Farm,AUS0000006,52.5,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.38978902399998,143.11397110200005,,Wind,,,,,,,,,
Channel Island,AUS0000261,232.0,2012,Australia,NT Power and Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-12.554992999999968,130.8665870000001,,Gas,,,,,,,,,
Charlestown Square,AUS0000401,2.8,2012,Australia,GPT RE Limited,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.96425537599998,151.69361251600003,,Gas,,,,,,,,,
Christmas Creek Iron Ore Mine,AUS0000221,28.0,2012,Australia,Contract Power Holdings,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-22.398999999999944,119.73200000000008,,Oil,,,,,,,,,
Clayton,AUS0000083,11.0,2012,Australia,Energy Developments LFG (Victoria) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.95019999999994,145.11872200000005,,Waste,,,,,,,,,
Clements Gap Wind Farm,AUS0000025,56.7,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-33.508567708999976,138.11917519200006,,Wind,,,,,,,,,
Cloudbreak,AUS0000324,36.0,2012,Australia,Contract Power,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-22.324710271999948,119.40401695100002,,Oil,,,,,,,,,
Clover,AUS0000103,29.0,2012,Australia,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.78528099999994,147.2204660000001,,Hydro,,,,,,,,,
Club Merrylands,AUS0000402,0.8,2012,Australia,Club Merrylands,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-33.83811554999994,150.99050381200004,,Oil,,,,,,,,,
Cluny,AUS0000125,17.0,2012,Australia,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-42.506422999999984,146.68116200000009,,Hydro,,,,,,,,,
