NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
GHANVI,IND0000120,22.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2000,Hydro,,,,,,,,
GHAT PRABHA,IND0000121,32.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1992,Hydro,,,,,,,65.7098,
GHATGHAR PSS,IND0000122,250.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2008,Hydro,,,,,,,318.64875,
GHTP (LEH.MOH.),IND0000123,920.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2003,Coal,Oil,,,,,,4117.339,
GIRAL,IND0000124,250.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2007,Coal,Oil,,,,,,279.25,
GIRI BATA,IND0000125,60.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1978,Hydro,,,,,,,198.8209,
GNDTP(BHATINDA),IND0000126,440.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1976,Coal,Oil,,,,,,1286.12,
GODAVARI GT,IND0000127,205.24,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1997,Gas,,,,,,,525.099,
GUMTI,IND0000128,15.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1979,Hydro,,,,,,,,
HALDIA,IND0000130,600.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2015,Coal,Oil,,,,,,337.232,
HAMPI,IND0000131,36.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1961,Hydro,,,,,,,2.0397499999999997,
HASDEOBANGO,IND0000132,120.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Hydro,,,,,,,256.8891,
HAZIRA CCCP,IND0000133,156.1,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2001,Gas,,,,,,,206.547,
HAZIRA-GSECL,IND0000134,351.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Gas,,,,,,,0.0,
HIRAKUD I&II,IND0000135,331.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1963,Hydro,,,,,,,882.6645,
H_GANJ B,IND0000129,665.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2003,Coal,Oil,,,,,,3274.84,
I.B.VALLEY,IND0000136,420.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Coal,Oil,,,,,,2498.546,
I.P.GT,IND0000137,270.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1989,Oil,Gas,,,,,,904.388,
IDAMALAYAR,IND0000139,75.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1987,Hydro,,,,,,,370.79670000000004,
IDUKKI,IND0000140,780.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1980,Hydro,,,,,,,2481.729,
IEPL  BELA TPP,IND0000141,270.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Coal,Oil,,,,,,0.0,
INDIRA SAGAR,IND0000142,1000.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2004,Hydro,,,,,,,2529.1905,
INDRA GANDHI STPP,IND0000143,1500.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2011,Coal,Oil,,,,,,6587.527,
