name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude
MIMIANI,26WIMPI-S19IEMMH,22.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
NOVEL,26WIMPI-S01NNVLN,97.0,Other,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
BARCIS,26WIMPI-S06BRCS6,25.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
UGH EON,18WVIES-12345-0Y,337.8,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Łagisza,19W000000000111L,820.0,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
Horns Rev A,45V000000000021B,160.0,Wind,DK,Energinet,https://transparency.entsoe.eu/api?,0.0,0.0
Bakonyi Bioerőmű,15WBAKONYI---PPL,27.7,Biomass,HU,Mavir,https://transparency.entsoe.eu/api?,0.0,0.0
TPP Bucuresti Sud,30W-CET-BUCS---S,280.0,Gas,RO,Transelectrica,https://transparency.entsoe.eu/api?,0.0,0.0
HKW Niehl,11WD7BOLA--KWNIK,866.0,Gas,DE,BDEW,https://transparency.entsoe.eu/api?,0.0,0.0
CARLENTINI 2,26WIMPI-S19C2RL8,14.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Imatra,44W-T-VV-000003Y,213.0,Hydro,FI,Fingrid Oyj,https://transparency.entsoe.eu/api?,0.0,0.0
Bjerka,50WP000000000487,25.1,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Rekvatn,50WP00000000563S,24.3,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
MONTJOVET,26WIMPI-S02MNTJW,50.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
IGE-SANDONACI,26WIMPI-0148771T,14.0,Solar,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
DINO,48WSTN10000DINOQ,2016.0,Hydro,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Nováky,24WV--ENO------B,440.0,Coal,SK,SEPS,https://transparency.entsoe.eu/api?,0.0,0.0
TAIO,26WIMPII-NOCE-1C,161.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ELPEDISON_THISVI,29WELPEDISONTHIM,410.0,Gas,GR,ADMIE,https://transparency.entsoe.eu/api?,0.0,0.0
Kjopsvik,50WP00000000357V,1.9,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
HEYM2,48WSTN0000HEYM2N,1344.0,Nuclear,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
UP_BRNSFIR_1,26WIMPI-0166990F,37.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
MALA1,18WMALA1-12345-L,415.5,Gas,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
CRYRB,48WSTN0000CRYRBT,200.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Roykas,50WP00000000588C,6.3,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
PILANI,26WIMPI-0037076S,14.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Begna,50WP00000000037C,0.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
SFIL,48WSTN00000SFILV,20.0,Hydro,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
MORALET B,18WMLTB-12345-09,219.0,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Posticciola,26WIMPI-0301166H,12.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ASTON,17W100P100P0315K,104.0,Hydro,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
MASSERIA VINCELLI,26WIMPI-S14ETEAI,5.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Grafenrheinfeld,11WD2GRKW000295T,1275.0,Nuclear,DE,BDEW,https://transparency.entsoe.eu/api?,0.0,0.0
SAN FLORO - CARAFFA 2,26WIMPI-S18SFC22,18.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
MEIRAMA,18WMEI1-12345-0I,557.2,Coal,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
ALMARAZ 1,18WALZ1-12345-0E,1011.3,Nuclear,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Bergerfoss,50WP000000000398,2.5,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
THESAVROS2,29WTHESAVROS2--Z,126.0,Hydro,GR,ADMIE,https://transparency.entsoe.eu/api?,0.0,0.0
Piano del Cornale,26WIMPI-0063022G,15.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
BAGNORE 3,26WIMPI-S09B3GN8,19.0,Geothermal,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ENIPOWER BRINDISI,26WIMPI-S16EBNPL,1260.0,Other,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Lyngen,50WP000000004342,1.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
CADAU1,26WIMPI-S20CD1A0,21.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
KW Mehrum (KWM),11WD2MEHR2CSWH-O,690.0,Coal,DE,BDEW,https://transparency.entsoe.eu/api?,0.0,0.0
MARLENGO,26WIMPI-S04MRLNK,38.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
WYLF,48WSTN00000WYLFC,1340.0,Nuclear,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
EME1_______,27W-PU-EME1----7,275.0,Coal,CZ,CEPS,https://transparency.entsoe.eu/api?,0.0,0.0
CENTRALE DI COGENERAZIONE DI BARDONECCHIA,26WIMPI-S01CCBLY,18.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Ovre Ros,50WP00000000848C,159.1,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
SAGITTARIO NUOVO,26WIMPI-S13SMSZ1,20.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Nedrefoss,50WP000000005055,3.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Bergsbotn,50WP00000000040N,7.9,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Aukland,50WP00000000015M,17.9,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
GONNOSFANADIGA,26WIMPI-S20GNNSN,22.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ST ALBAN 2,17W100P100P0228F,1335.0,Nuclear,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
COMBIGOLFE,17W100P100P0337A,425.0,Gas,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Havardsvatn,50WP000000003176,4.9,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
CTCOMPOS 3,18WCCO3-12345-0C,323.3,Coal,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Harsprånget,46WPU0000000029L,830.0,Hydro,SE,SVK,https://transparency.entsoe.eu/api?,0.0,0.0
CORDEMAIS 5,17W100P100P0237E,580.0,Coal,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Kaupanger,50WPI00000003465,5.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Borregaard inst,50WP00000000071C,53.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
HADHW,48WSTN0000HADHW8,130.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Malta-Hauptstufe,14W-DMH-KW-----9,730.0,Hydro,AT,APCS,https://transparency.entsoe.eu/api?,0.0,0.0
Lista VK,50WP000000004237,71.3,Wind,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Narvik,50WP00000000491R,5.7,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
BARRIOS,18WBRR1-12345-0H,570.0,Coal,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
GIARRATANA,26WIMPI-S19GRRTK,45.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Ariano Irpino eolico,26WIMPI-0453181B,10.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Zielona Góra,19W000000000230D,188.0,Gas,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
