NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
Unknown,FIN000326,1.57,2017.0,None,None,Finland,Kainuun Voima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Unknown,FIN000325,14.0,2017.0,None,None,Finland,Fortum Power & Heat   Generation,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Unknown,FIN000324,7.0,2017.0,None,None,Finland,Kotkan Energia Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Gas
Vartinoja 1,FIN000370,25.65,2017.0,None,None,Finland,Vartinoja I Ky,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Vaskiluoto,FIN000371,230.0,2017.0,None,None,Finland,Vaskiluodon Voima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Coal,Oil
Hankosaari 1-2 tv,FIN000024,2.6,2017.0,None,None,Finland,Propel Voima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Harabacka,FIN000025,9.6,2017.0,None,None,Finland,,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Oil,Gas
Harjavalta,FIN000026,6.3,2017.0,None,None,Finland,Suomen Teollisuuden Energiapalvelut - STEP Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Oil
Harjavalta,FIN000027,72.0,2017.0,None,None,Finland,Länsi-Suomen Voima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Halmekangas,FIN000020,38.5,2017.0,None,None,Finland,Tuuliwatti Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Hamari,FIN000021,2.5,2017.0,None,None,Finland,Korpelan Voima kuntayhtymä,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Hanasaari B,FIN000022,212.0,2017.0,None,None,Finland,Helsingin Energia,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Coal,Oil
Hanhikoski,FIN000023,1.5,2017.0,None,None,Finland,Vattenfall Sähköntuotanto oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Hattarfors,FIN000028,1.1,2017.0,None,None,Finland,Esse Elektro-Kraft Ab,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Heinola,FIN000029,0.0,2017.0,None,None,Finland,Adven Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Gas,Oil
Unknown,FIN000293,1.2,2017.0,None,None,Finland,Oy HERRFORS Ab,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Kuurna,FIN000119,21.2,2017.0,None,None,Finland,Kuurnan Voima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
