Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity (MW),Net Generation (MWh)
58490,Spectrum Solar PV Power Project,Southern Power Co,WECC,36.23,-114.87,2014,Solar,60,83229
58491,"Sandy Cross Solar, LLC","O2energies, Inc.",SERC,35.868333,-77.954167,2013,Solar,2.4,2147
58492,"Ararat Rock Solar, LLC","O2energies, Inc.",SERC,36.461111,-80.600556,2013,Solar,7,6088
58493,"Progress Solar 1, LLC","O2energies, Inc.",SERC,35.948056,-78.250833,2013,Solar,8,6494
58494,"Progress Solar II, LLC","O2energies, Inc.",SERC,34.476111,-79.0975,2013,Solar,7,6183
58495,"Progress Solar III, LLC","O2energies, Inc.",SERC,34.714167,-79.353889,2013,Solar,7,6439
58496,Lincoln Solar,Ecos Energy LLC,RFC,41.462778,-87.260278,2013,Solar,3,2356
58497,L&S Sweetners,Granger Electric Co,RFC,40.090556,-76.145556,2014,Waste,3.2,21852
58498,Rosamond One,RE Rosamond One LLC,WECC,34.9,-118.246944,2015,Solar,40,59520
58499,Rosamond Two,RE Rosamond Two LLC,WECC,34.900278,-118.238333,2015,Solar,40,51088
58500,Rio Grande Solar,"RE Rio Grande, LLC",WECC,35.046667,-118.167222,2014,Solar,10,11845
58501,Gillespie 1,RE Gillespie 1 LLC,WECC,33.026389,-112.665833,2014,Solar,30,44651
58502,Columbia 3,RE Columbia 3 LLC,WECC,35.024722,-118.164167,2015,Solar,20,26586
58504,Livingston Solar Farm,"Rutgers, The State University of NJ",RFC,40.523611,-74.43,2010,Solar,2.4,1641
58505,Livingston Solar Canopies,"Rutgers, The State University of NJ",RFC,40.5275,-74.438333,2014,Solar,13.2,9194
58506,Chuckawalla Solar,Chuckawalla Solar LLC,WECC,33.568333,-114.918056,2013,Solar,8,5543
58507,Montefieor Medical Center Moses Division,Montefiore Medical Center Moses Division,NPCC,40.881389,-73.880278,1998,Gas,8.3,52155
58508,Bear Creek Solar,Ecos Energy LLC,WECC,38.136389,-121.148889,2015,Solar,3,3495
58509,Vintner Solar,Ecos Energy LLC,WECC,35.557778,-120.681389,2015,Solar,3,3024
58510,Kettleman Solar Project,Ecos Energy LLC,WECC,38.120278,-121.132778,2015,Solar,2,2199
58511,Delta Wind Farm,Alaska Environmental Power,ASCC,64.013889,-145.596667,2012,Wind,3.8,4500
