PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1018627,Sibimbe,Hydro,15,,,,,Hidrosibimbe,89.25,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,63.70%,,,Ecuador,,,,,,,,,,,,,,2013
1018628,Sopladora,Hydro,320,,,2011,,,"2,700",,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018629,Termoguayas,Diesel,150,,Diesel Engine,,,Termoguayas,546.4,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018630,Toachi Pilatón,Hydro,228,,,2012,,,"1,120",,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018631,Victoria II,Naphtha,115,,OCGT,2000,,CELEC EP,60.2,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018632,Villonaco,Wind,17,,Onshore Wind,2013,,CELEC EP,59,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
,,,7108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022988,Guangopolo II,Diesel,50,,Diesel Engine,2014,"6 engines of 8.73 MW, (MAN 18V32 /40)",,,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/guangopolo/,,,,,,,,Ecuador,,,,,,,,,,,,,,
1022989,Esmeraldas II,Residual Fuel Oil,96,,,2014,12 units of 8.35 MW,CELEC EP,,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/esmeraldas/,,,,,,,,Ecuador,,0.934896,-79.691422,,,,,,,,,,,
1022990,Manduriacu,Hydro,65,,Concrete Dam with Reservoir,2015,,,,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/manduriacu/,,,,,,,,Ecuador,,0.214723,-78.912227,,,,,,,,,,,
1022991,Topo,Hydro,30,,,2015,,ECUAGESA,,,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/coordinacion-de-actividades-previas-para-el-ingreso-de-la-central-hidroelectrica-topo-de-30-mw/,,,,,,,,Ecuador,,,,,,,,,,,,,,
1022992,Sopladora II,Hydro,487,,Dam,,3 165 Mw Francis Turbines,CELEC EP,"2,800",,Ministerio de Electricidad y Energia Renovable,http://www.energia.gob.ec/sopladora/,,,,,,,,Ecuador,,-2.59379,-78.566596,,,,,,,,,,,
