PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022087,Santa Cruz II,Hydro,7,,,,,Hidroeléctrica Santa Cruz S.A.C,35,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022088,Cana Brava,Hydro,6,,,,,Duke Energy Egenor S en C por A.,32,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022089,Canchayllo,Hydro,5,,,,,Empresa de Generación Canchayllo S.A.C.,31,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022090,Yanapampa,Hydro,4.2,,,,,Eléctrica Yanapampa S.A.C.,25,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022091,Nuevo Imperial,Hydro,4,,,,,Hidrocañete S.A.,27,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022092,Roncador,Hydro,3.8,,,,,Maja Energía S.A.C.,23,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022093,Quanda,Hydro,2.9,,,,,Electro Oriente S. A.,19,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022094,Purmacana,Hydro,1.8,,,,,Eléctrica Santa Rosa S.A.C.,6,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022095,Sto. Domingo de Los Olleros,Natural Gas,210,,OCGT,,,Termochilca S.A.C.,380,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022096,Las Flores,Natural Gas,193,,OCGT,,,Kallpa Generación S.A.,117,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022097,Recka,Natural Gas,181,,OCGT,,,Sociedad Minera Cerro Verde S.A.,17,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022098,Malacas 3,Natural Gas,178,,OCGT,,,Empresa Eléctrica de Piura S.A,19,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,Biodiesel,,,,,,,,,
1022099,Malacas 2,Natural Gas,101,,OCGT,,,Empresa Eléctrica de Piura S.A,566,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022100,Chilina,Natural Gas,20.4,,CCGT,,,Emp. de Generación Eléctrica de Arequipa S. A.,7,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022101,Panamericana,Solar,20,,PV,2012,,Panamericana Solar S.A.C.,49,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022102,Majes,Solar,20,,PV,,,GTS Majes S.A.C.,46,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022103,Tacna,Solar,20,,PV,,,Tacna Solar S.A.C,44,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022104,Reparticion,Solar,20,,PV,,,GTS Repartición S.A.C.,45,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022105,Moquegua,Solar,16,,PV,,,Moquegua FV S.A.C.,47,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022106,Tres Hermanas,Wind,97,,Onshore Wind,,,Parque Eólico Tres Hermanas S.A.C.,4,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022107,Cupisnique,Wind,80,,Onshore Wind,,,Energía Eólica S.A.,305,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022108,Marcona,Wind,32,,Onshore Wind,,,Parque Eólico Tres Hermanas S.A.C.,140,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022109,Talara,Wind,30,,Onshore Wind,,,Energía Eólica S.A.,145,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022047,Ilo 1,Coal,132,,OCGT,,,Energía del Sur S.A.,62,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-17.7762,-71.18958,,,,,,,,,,
1022064,Ilo 2,Natural Gas,135,,OCGT,1997,,Energía del Sur S.A.,248,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,-17.777087,-71.187025,,,,,,,,,,
