PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000126,Komati,Coal,1000,,Sub-critical Thermal,1961-1969,4(100) 5(125),Eskom,,,Eskom,http://www.eskom.co.za/Whatweredoing/ElectricityGeneration/PowerStations/Pages/Komati_Power_Station.aspx,30%,,,,,,Operating,South Africa,Southern Africa Grid,-26.09078,29.47446,,,,,,,,
1000127,Kriel,Coal,2850,,Sub-critical Thermal,1976-1979,6,Eskom,"17,860",,Eskom,Kriel Power Stations,34.99%,,,,,76.80%,Operating,South Africa,Southern Africa Grid,-26.25404,29.18008,,,,,,,,
1000128,Lethabo,Coal,3780,,Sub-critical Thermal,1989-1990,6,Eskom,,,Eskom,Lethabo Power Station,,,,,,,Operating,South Africa,Southern Africa Grid,-26.74027,27.975,,,,,,,,
1000129,Majuba,Coal,4110,,Super-critical Thermal,1996-2001,"3(612), 3(712)",Eskom,,,Eskom,Majuba Power Station,,,,,,,Operating,South Africa,Southern Africa Grid,-27.09555,29.77055,,,,,Hybrid Dry Cooling-Recirculating,,,
1000130,Matimba,Coal,3990,,Sub-critical Thermal,1988-1993,6,Eskom,"23,789",,Eskom,Matimba Power Station,35.60%,,,,,93.67%,Operating,South Africa,Southern Africa Grid,-23.66777,27.61277,,,,,Dry Cooling,,,
1000131,Matla,Coal,3600,,Sub-critical Thermal,1979-1983,6,Eskom,"25,199",,Eskom,Matla Power Station,37.60%,,,,,93.84%,Operating,South Africa,Southern Africa Grid,-26.28036,29.14229,,,,,,,,
1000135,Tutuka,Coal,3654,,Sub-critical Thermal,1995-2000,6,Eskom,"19,764",,Eskom,Tutuka,38%,,,,,79.48%,Operating,South Africa,Southern Africa Grid,-26.77565,29.35212,,,,,,,,
1000116,Ankerlig,Diesel,1327,,OCGT,2006-2009,9,Eskom,,,Eskom,Ankerlig Power Station,,,,,,,Operating,South Africa,Southern Africa Grid,-33.592,18.4607,,,,,,,,
1000120,Drakensberg,Hydro,1000,,Pumped Storage,1981-1982,4,Eskom,"2,041",,Eskom,Drakensberg Pumped Storage,,,,,,93.88%,Operating,South Africa,Southern Africa Grid,-28.56283,29.08275,,,,,,,,
1000121,Gariep,Hydro,360,,Dam with Reservoir,1971-1976,4,Eskom,889,,Eskom,Gariep Hydro Dam,,,,,,96.58%,Operating,South Africa,Southern Africa Grid,-30.62396,25.50403,,,,,,,,
1000132,Palmiet,Hydro,400,,Pumped Storage,1988,2,Eskom,,,Eskom,Palmiet Hydro,,,,,,96.57%,Operating,South Africa,Southern Africa Grid,-34.19722,18.97361,,,,,,,,
