PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1020034,Shimonoseki,Coal,175,,Sub-critical Thermal,,,Chugoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020060,Miike Power Plant,Coal,175,,Sub-critical Thermal,,,"Shiguma
Power Ariake",,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020058,Tosa Power Plant,Coal,150,,Sub-critical Thermal,,,Tosa Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020048,Kamaishi Thermal,Coal,149,,Sub-critical Thermal,,,Nippon Steel &Sumitomo Metal,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020055,Nagoya Power Plant,Coal,149,,Sub-critical Thermal,1990,,"Nakayama
Nagoya Kyodo Power",,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020056,Itoigawa Power Plant,Coal,149,,Sub-critical Thermal,,,Itoigawa Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020054,Toyohashi Power Plant,Coal,147,,Sub-critical Thermal,,,Akemi Energy,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020050,Hirohata,Coal,133,,Sub-critical Thermal,,,Nippon Steel &Sumitomo Metal,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020047,Muroran Iron Plant,Coal,100,,Sub-critical Thermal,,,Nippon Steel &Sumitomo Metal,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020051,Kushito Plant,Coal,80,,Sub-critical Thermal,,,Nippon Paper Industries,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020052,Tomakomai,Coal,74,,Sub-critical Thermal,,,Sanix Energy,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020059,Kochi Plant,Coal,65,,Sub-critical Thermal,,,"Sumitomo
Osaka Cement Company",,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020053,Onahama Power Plant,Coal,50,,Sub-critical Thermal,2004,,Summit Onahama S Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020061,Mikawa Power Plant,Coal,48,,Sub-critical Thermal,2005,,"Shiguma
Power Ariake",,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
