PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1003714,Izhevsk HPP-2,Natural Gas,390,,,1982,,t+group,,1,t+group,Izhevsk HPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003716,Kaliningradskaya,Natural Gas,900,,,2005,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,54.66046,20.58146,,,,,,,,,2016
1003718,Kaluga TPP,Natural Gas,41.8,,,1948,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003719,Kamchatskiye CHPPs,Natural Gas,407,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003723,Kargalinskaya,Natural Gas,320,,,1973,,t+group,,1,t+group,Kargalinskaya CHP,,,,,,,,Russia,,,,,,,,,,,,
1003724,Karmanovskaya TPP,Natural Gas,"1,831.10",,,1968,,Bashkir,"19,567",Generation is from 2014,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003727,Khabarovskiye CHPPs,Natural Gas,"1,155",,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003729,Kirishskaya GRES,Natural Gas,"2,595",,,,,OGK-2 (subsidiary of GazProm),5796,,OGK-2,http://www.ogk2.ru/eng/about/branch/kirishskaya/,,,,,25.50%,,,Russia,,,,,,,,,,,,2014
1003732,Kizelovskaya TPP-3,Natural Gas,29,,,2004,,t+group,,1,t+group,Kizelovskaya TPP-3,,,,,,,,Russia,,,,,,,,,,,,
1003735,Komsomolskaya CHPP,Natural Gas,360,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003736,Komsomolskiye CHPPs,Natural Gas,600,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003737,Konakovskaya,Natural Gas,"2,520",,,1964-1969,3(320)5(300),PSJC Enel Russia (OGK-5),7753,Gross generation from 2015,PSJC Enel Russia (OGK-5),Konakovskaya,,,,,,,,Russia,,,,,,,,,,,,2015
1003738,Kostroma CHPP-1,Natural Gas,33,,,1930,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003738,Kostroma CHPP-2,Natural Gas,170,,,1978,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003743,Kumertauskaya TPP,Natural Gas,120,,CCGT,1954,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003745,Kursk TPP-4*,Natural Gas,4.8,,,1934,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003747,Kyzym Mobile PP,Natural Gas,72,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003748,Labytnangi Mobile PP,Natural Gas,73,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003750,Livny TPP,Natural Gas,42,,,1958,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003751,Magadanskaya CHPP,Natural Gas,96,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003752,Mezhdunarodnaya,Natural Gas,121,,,2007,1 unit,Technoproexport,,9,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003754,Mirninskaya TPP,Natural Gas,72,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003757,Nevinnomysskya,Natural Gas,"1,530",,CCGT,2011,14 units,PSJC Enel Russia (OGK-5),8601,Generation from 2015,PSJC Enel Russia (OGK-5),Nevinnomysskya,,,,,,,,Russia,,44.658,41.93,,,,,,,,,2015
1003758,Nikolaevskaya CHPP,Natural Gas,131,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003760,Nizhnetouriskaya,Natural Gas,460,,,2015,,t+group,,1,t+group,Nizhnetouriskaya,,,,,,,,Russia,,,,,,,,,,,,
1003761,Nizhnevartovskaya,Natural Gas,"2,013",,,1993-2014,3 units,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003762,Northwest CHP,Natural Gas,900,,,2000-2006,2(450),Technoproexport,,,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003764,Novo Sverdlovsk,Natural Gas,557,,,1982,,t+group,,1,t+group,Novo Sverdlovsk,,,,,,,,Russia,,,,,,,,,,,,
1003767,"Novo-Sterlitamakskaya TPP, a generation facility of Sterlitamakskaya TPP",Natural Gas,255,,CCGT,1977,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003769,Novocheboksarsk CHPP-2,Natural Gas,370,,,1965,,t+group,,1,t+group,Novocheboksarsk CHPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003771,Novogorkovskaya CHP,Natural Gas,548,,CCGT,2014,,t+group,,1,t+group,Novogorkovskay CHP,,,,,,,,Russia,,,,,,,,,,,,
1003772,Novokuibyshevsk HPP-1,Natural Gas,372,,,1951,6 unit,t+group,,1,t+group,Novokuibyshevsk HPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003773,Novomoskovsk SDPS,Natural Gas,323.7,,,1934,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003776,Orel TPP,Natural Gas,330,,,1946,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003777,Orsk TPP-1,Natural Gas,245,,,1938,,t+group,,1,t+group,Orsk TPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003780,Pechorskaya,Natural Gas,"1,060",,,1979,2(210)2(215),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003781,Penza TPP-1,natural Gas,385,,,1943,,t+group,,1,t+group,Penza TPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003781,Penza TPP-2,natural Gas,16,,,1957,,t+group,,1,t+group,Penza TPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-13,Natural Gas,34,,,2006,,t+group,,1,t+group,Perm HPP-13,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-14,Natural Gas,330,,,1961-2009,,t+group,,1,t+group,Perm HPP-14,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-6,Natural Gas,180,,,1942,,t+group,,1,t+group,Perm HPP-6,,,,,,,,Russia,,,,,,,,,,,,
1003783,Perm HPP-9,Natural Gas,410,,,1951-1980,,t+group,,1,t+group,Perm HPP-9,,,,,,,,Russia,,,,,,,,,,,,
1003784,Permskaya,Natural Gas,"2,400",,,1986-1991,3(800),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003785,Pervouralsk TEZ,Natural Gas,36,,,1956,,t+group,,1,t+group,Pervouralsk TEZ,,,,,,,,Russia,,,,,,,,,,,,
1003787,Priufimskaya TPP,Natural Gas,210,,CCGT,1976,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003788,Pskovskaya GRES,Natural Gas,440,,,,,OGK-2 (subsidiary of GazProm),992,,OGK-2,http://www.ogk2.ru/eng/about/branch/pskovskaya/,,,,,25.80%,,,Russia,,,,,,,,,,,,2014
1003789,Raychikhiskaya TPP,Natural Gas,102,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
