PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000422,Sheliao,Hydro,0.9,,Dam with Reservoir,1994,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1558,,,,,,,Operating,Taiwan,,,,,,,,,,,社    寮
1000423,Houli,Hydro,1,,Dam with Reservoir,2010,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1559,,,,,,,Operating,Taiwan,,,,,,,,,,,后    里
1000424,Wanda,Hydro,15,,Dam with Reservoir,1943,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1560,,,,,,,Operating,Taiwan,,,,,,,,,,,萬    大
1000425,Wanda Si,Hydro,20,,Dam with Reservoir,2012,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1561,,,,,,,Operating,Taiwan,,,,,,,,,,,萬大四
1000426,Songlin,Hydro,18,,Dam with Reservoir,2012,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1562,,,,,,,Operating,Taiwan,,,,,,,,,,,松  林
1000427,Beishan,Hydro,4.3,,Dam with Reservoir,1989,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1563,,,,,,,Operating,Taiwan,,,,,,,,,,,北    山
1000428,Zhuoshui,Hydro,3.6,,Dam with Reservoir,2011,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1564,,,,,,,Operating,Taiwan,,,,,,,,,,,濁    水
1000429,Liugui,Hydro,4.5,,Dam with Reservoir,1994,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1565,,,,,,,Operating,Taiwan,,,,,,,,,,,六    龜
1000430,Zhumen,Hydro,2.6,,Dam with Reservoir,2010,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1566,,,,,,,Operating,Taiwan,,,,,,,,,,,竹    門
1000431,Shuilian,Hydro,9.5,,Dam with Reservoir,1985,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1567,,,,,,,Operating,Taiwan,,,,,,,,,,,水    簾
1000432,Longxi,Hydro,4.7,,Dam with Reservoir,1986,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1568,,,,,,,Operating,Taiwan,,,,,,,,,,,龍    溪
1000433,Tongmen,Hydro,21,,Dam with Reservoir,1955-1995,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1569,,,,,,,Operating,Taiwan,,,,,,,,,,,銅    門
1000434,Qingshui,Hydro,7,,Dam with Reservoir,1941,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1570,,,,,,,Operating,Taiwan,,,,,,,,,,,清    水
1000435,Chuying,Hydro,2,,Dam with Reservoir,1941,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1571,,,,,,,Operating,Taiwan,,,,,,,,,,,初    英
1000436,Rongshu,Hydro,2.7,,Dam with Reservoir,1967,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1572,,,,,,,Operating,Taiwan,,,,,,,,,,,榕    樹
1000437,Qingliu,Hydro,4.2,,Dam with Reservoir,1983,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1573,,,,,,,Operating,Taiwan,,,,,,,,,,,清    流
1000438,Xikou,Hydro,2.7,,Dam with Reservoir,1960,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1574,,,,,,,Operating,Taiwan,,,,,,,,,,,溪    口
1000439,Dongxing,Hydro,0.8,,Dam with Reservoir,1950-1958,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1575,,,,,,,Operating,Taiwan,,,,,,,,,,,東    興
1000440,Bihai,Hydro,61.2,,Dam with Reservoir,2011,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1576,,,,,,,Operating,Taiwan,,,,,,,,,,,碧  海
1000441,Daguan Erchang,Hydro,"1,000",,Pumped Storage,1985,4,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1577,,,,,,,Operating,Taiwan,,,,,,,,,,,大觀二廠
1000442,Mingtan,Hydro,"1,602",,Pumped Storage,1993-1994,6,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1578,,,,,,,Operating,Taiwan,,,,,,,,,,,明    潭
1000443,Guhu Wind,Wind,10.2,,Onshore Wind,2001-2010,14,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1579,,,,,,,Operating,Taiwan,,,,,,,,,,,澎湖風力
1000444,Linkou Wind,Wind,6,,Onshore Wind,2011,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1580,,,,,,,Operating,Taiwan,,,,,,,,,,,林口風力
1000445,Shimen Wind,Wind,3.96,,Onshore Wind,2004,6,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1581,,,,,,,Operating,Taiwan,,,,,,,,,,,石門風力
1000446,Hengchun Wind,Wind,4.5,,Onshore Wind,2004,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1582,,,,,,,Operating,Taiwan,,,,,,,,,,,恆春風力
1000447,Datan wind,Wind,15.1,,Onshore Wind,2005-2011,8,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1583,,,,,,,Operating,Taiwan,,,,,,,,,,,大潭風力
1000448,Guanyuan Wind,Wind,30,,Onshore Wind,2006,20,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1584,,,,,,,Operating,Taiwan,,,,,,,,,,,觀園風力
1000449,Zhonghuo Wind,Wind,6,,Onshore Wind,2006,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1585,,,,,,,Operating,Taiwan,,,,,,,,,,,中火風力
1000450,Zhonggang Wind,Wind,36,,Onshore Wind,2007-2009,18,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1586,,,,,,,Operating,Taiwan,,,,,,,,,,,中港風力
1000451,Zhanggong Wind,Wind,62,,Onshore Wind,2007-2010,31,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1587,,,,,,,Operating,Taiwan,,,,,,,,,,,彰工風力
,,,"41,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,
