PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016139,Colimilla,Hydro,51,Tonalá,,,,,42,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,9.3,,Operating,Mexico,,,,,,Tonalá,,,,,,,,2007
1016177,La Yesca,Hydro,375,,,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016084,Valle de México,Natural Gas,1087,Acolman,Sub-critical Thermal y CCGT,,,,4760,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,50,,Operating,Mexico,,,,,,Acolman,,,,,,,,2007
1016085,Jorge Luque [LyFC],Natural Gas,362,Tultitlán,Sub-critical Thermal/OCGT,,,,647,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,20.4,,Operating,Mexico,,,,,,Tultitlán,,,,,,,,2007
1016110,Samalayuca II,Natural Gas,522,Cd. Juárez,CCGT,,,,3097,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,67.8,,Operating,Mexico,,,,,,Cd. Juárez,,,,,,,,2007
1016111,Huinalá I y II,Natural Gas,968,Pesquería,CCGT/OCGT,,,,3761,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,44.4,,Operating,Mexico,,,,,,Pesquería,,,,,,,,2007
1016112,Campeche    ( PIE )1/,Natural Gas,252,Palizada,CCGT,,,,1782,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,80.6,,Operating,Mexico,,,,,,Palizada,,,,,,,,2007
1016113,Dos Bocas,Natural Gas,452,Medellín,CCGT,,,,2665,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,67.3,,Operating,Mexico,,,,,,Medellín,,,,,,,,2007
1016114,El Sauz,Natural Gas,601,P. Escobedo,CCGT,,,,3193,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,60.7,,Operating,Mexico,,,,,,P. Escobedo,,,,,,,,2007
1016115,Gómez Palacio,Natural Gas,252,Gómez Palacio,CCGT,,,,198,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,9,,Operating,Mexico,,,,,,Gómez Palacio,,,,,,,,2007
