PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,
1026614,Preveza Solar Power Plant,Solar,4,,PV,,,Astraios Energeiakh SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361310,,,,,,,,,Operating,Greece,,38.9828,20.73363,,,,,,,,,,,
1026615,Pyrgos Solar Power Plant,Solar,1.7,,PV,,,,,,Biosar,http://en.biosar.gr/2012/arthro/award_of_2_00_mwp_pv_project_in_pyrgos-15361553/,,,,,,,,,Operating,Greece,,37.7252,21.44574,,,,,,,,,,,
1026616,Revenia Solar Power Plant,Solar,7.5,,PV,,,Quest,,,Biosar,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361411,,,,,,,,,Operating,Greece,,38.3784,23.33713,,,,,,,,,,,
1026617,Stroussi Solar Power Plant,Solar,6.4,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,http://environmentalreport2012.enel.com/files/grecia_en.pdf,,,,,,,,,Operating,Greece,,37.9009,21.2364,,,,,,,,,,,
1026618,Thiva Solar Power Plant,Solar,5,,PV,,,Energa Fotovoltaika SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31186&subid=2&pubid=15361420,,,,,,,,,Operating,Greece,,38.3739,23.3613,,,,,,,,,,,
1026619,Tripolis Solar Power Plant,Solar,2,,PV,,,Rokas Heliaki II EPE,,,Biosar,http://en.biosar.gr/article.asp?catid=31187&subid=2&pubid=15361425,,,,,,,,,Operating,Greece,,37.5116,22.41808,,,,,,,,,,,
1026620,Volos Solar Power Plant,Solar,2,,PV,,,,,,Exenewable,http://www.exenewable.com/projectProfile.asp?id=20846,,,,,,,,,Operating,Greece,,39.3675,22.88249,,,,,,,,,,,
1019419,Ano Liosia,Waste,24,,Waste Incinerator,,,,,,Hellector,http://www.lignite.gr/events/5.pdf,,,,,,,,,Operating,Greece,,38.0773,23.6544,,,,,,,,,,,
1019420,Zoodochos Pighi,Wind,24,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=25,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019421,Aspri Petra,Wind,19.8,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=26,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019422,Hlogos,Wind,19,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=27,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019423,Lithos,Wind,19,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019424,CA Viotias Castle,Wind,17.7,,Onshore Wind,2009,,Public Power Corporation of Greece,59,,Public Power Corporation of Greece,http://www.ppcr.gr/Energy.aspx?C=26,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019425,Geraki,Wind,17.1,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019426,Panaghia Soumela,Wind,14,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019427,CA Crete Xirolimni,Wind,13.2,,Onshore Wind,2010,,,42,,Public Power Corporation of Greece,http://www.ppcr.gr/Energy.aspx?C=26,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019428,Koutsoutis,Wind,12,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019429,Soros,Wind,12,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026630,LOGGARAKIA,Wind,18,"Municipality of Ermionida, Argolida",Onshore Wind,2014,8,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,37.479008,23.127721,,,,,,,,,,,
1026631,Mavrovouni,Wind,29.55,Viotia,Onshore Wind,2011-2015,28,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026632,Pyrgari,Wind,5.4,Evia,Onshore Wind,2001,9,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=b3776bd7-f4c3-42cd-9f01-93d454cd36b3&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.348922,24.201652,,,,,,,,,,,
1026633,MYTOULA,Wind,34.2,Evros,Onshore Wind,2006,19,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=a1aad68d-4698-449d-a019-95fc4ccc3433&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,41.093056,25.934616,,,,,,,,,,,
1026634,PERDIKOKORIFI,Wind,14.45,Herakleio - Create,Onshore Wind,2006,17,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.232666,23.498599,,,,,,,,,,,
1026635,Xirovouni,Wind,6.3,Evros/Region of East Macedonia and Thrace,Onshore Wind,2014,3,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=705ddc45-8514-454a-8ad1-a5e9b4df3b4f&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026636,Scopia,Wind,20,Etoloakarnania,Onshore Wind,2011,8,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=e2d2e726-7b8d-4af8-9323-cdfde23f65e0&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019430,Heliolousti II,Wind,9,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026637,TSILIKOKA,Wind,21,Evia,Onshore Wind,2000,34,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=09fa7ebf-932b-426b-b7cf-e8fe2170979c&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,38.331294,24.192583,,,,,,,,,,,
1019431,Prophet Helias,Wind,9,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026638,Rachoula,Wind,38,Viotia,Onshore Wind,2011-2015,16,TERNA,,,TERNA,http://www.terna-energy.com/activities/?catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019432,Heliolousti I,Wind,8,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1026639,STAVROTI VIGLA KATTAVIA - RHODES,Wind,17.85,Dodecanese,Onshore Wind,2014,,TERNA,,,TERNA,http://www.terna-energy.com/activities/?EntryId=d94a124a-b2bf-4482-a48d-fe7e5c20080f&catid=67e8558e-78c1-44cc-9d53-56994d9e6f7e&countryId=5a53c3a7-cff0-49a4-ba90-5538b3418e40,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019433,Monastiri II,Wind,8,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019434,CA Crete Rethymno Akoumia,Wind,7.2,,Onshore Wind,,,,,,Public Power Corporation of Greece,http://www.ppcr.gr/Energy.aspx?C=26,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019435,Aghios Kirillos,Wind,7,,Onshore Wind,,,,,,Public Power Corporation of Greece,,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019436,CA Crete Sitia Toplou Montasery,Wind,6.6,,Onshore Wind,,,,,,Public Power Corporation of Greece,http://www.ppcr.gr/Energy.aspx?C=27,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
1019437,Martino,Wind,6,,Onshore Wind,,,,,,Public Power Company of Greece,http://www.ppcr.gr/Energy.aspx?C=28,,,,,,,,,Operating,Greece,,,,,,,,,,,,,,
