PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002923,PORCARI,Natural Gas,100,PORCARI,CCGT,1996,"1x24, 2x38",Edison,,CHP,Edison,http://www.edison.it/sites/default/files/Fact%20sheet%20ita%202015_0.pdf,,,,,,,,,,Italy,,,,,,,,,,,,,
1002924,PORTO CORSINI,Natural Gas,750,RAVENNA,CCGT,2002,"2x125, 2x258",ENEL,98.97,,ENEL,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/portocorsini_da2008_2008.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002928,PORTO VIRO,Natural Gas,125,PORTO VIRO,OCGT,,,Edison,0,,Power Plants at Risk of Shutting Down,http://www.italy24.ilsole24ore.com/pdf2010/Editrice/ILSOLE24ORE/QUOTIDIANO_INSIDE_ITALY/Online/_Oggetti_Correlati/Documenti/2014/10/23/20141023_Power.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1021679,PRIMARIA_TEST_NEW,Natural Gas,20,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002930,PRIOLO C.LE,Natural Gas,750,PRIOLO GARGALLO,CCGT,2002-2003,"2x125, 2x250",ENEL,3150,,ENEL,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/priologargallo_da2009_2010.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002933,RATINO,Natural Gas,403,SAN SEVERO,CCGT,2011,,Alpiq,"1,470",,Alpiq,http://www.alpiq.com/alpiq-group/our-assets/thermal-power-plants/gas-fired-combined-cycle-power-plants/san-severo-thermal-power-station.jsp,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,55%,,,,,,Operating,Italy,,,,,,"Molise, Campobasso",,,,150 kv,,,
1021345,REMUNERAZIONE_PRIMARIA,Natural Gas,60,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002935,RIZZICONI,Natural Gas,760,RIZZICONI,CCGT,,,EGL Italia,3635.8,,Axpo,http://www.axpo.com/axpo/it/en/knowledge/power-production/assets-in-italy.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002937,ROSEN,Natural Gas,356,ROSIGNANO MARITTIMO,CCGT,1996,,Electrabel,"2,463",,Electrabel,http://www.tractebel-engie.com/references/combined-cycle-power-plant-livorno-2/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002941,S.E.F. SRL,Natural Gas,800,FERRARA,CCGT,,,Eni Power,2536.172,,Eni Power,http://www.enipower.eni.it/it/pages/dove-operiamo/ferrara/ferrara.shtml,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1021928,SAN NICOLA,Natural Gas,11,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002946,SAN QUIRICO,Natural Gas,137,PARMA,CCGT,,,Edison,1,,Edison,http://www.edison.it/en/node/1505,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002940,Santa Barbara,Natural Gas,390,CAVRIGLIA,CCGT,2006,"1x240, 1x150",,148,,Dichiarazione Ambientale,https://www.enel.it/it-it/documents/azienda/ambiente/dichiarazioni_ambientali/ds_santa_barbara_2011.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002948,SARLUX,Natural Gas,630,Sardinia,CCGT,2000,3x182,Saras SpA,"4,429",,Power and Technology Magazine,http://www.power-technology.com/projects/sarlux/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002949,SARMATO,Natural Gas,180,SARMATO,CCGT,1998,,EON,0,,Power Plants at Risk of Shutting Down,http://www.italy24.ilsole24ore.com/pdf2010/Editrice/ILSOLE24ORE/QUOTIDIANO_INSIDE_ITALY/Online/_Oggetti_Correlati/Documenti/2014/10/23/20141023_Power.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002951,SERMIDE,Natural Gas,1151,SERMIDE,CCGT,2004,1x390. 1x770,Edipower,938.936,,Edipower,http://www.edipower.it/edp/cms/edipower/attivita/impianti/centrale-termoelettrica-di-sermide/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002953,SIMERI CRICHI,Natural Gas,760,SIMERI CRICHI,CCGT,,,Edison,2625,,Edison,http://www.skemaq.it/uploads/case-studies/7cae243ca90d11d3755216b3b90bacdc.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1021430,SORA,Natural Gas,42,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002956,SORGENIA PUGLIA CENTRALE DI MODUGNO,Natural Gas,800,MODUGNO,CCGT,2010,,Sorgenia,947.406,,Sorgenia,https://www.sorgenia.it/produzione/impianti-ciclo-combinato/centrale-modugno.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002958,SPARANISE,Natural Gas,760,SPARANISE,CCGT,,,EGL Italia,2845,,Axpo,http://www.axpo.com/axpo/it/en/knowledge/power-production/assets-in-italy.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002962,TAVAZZANO,Natural Gas,"1,520",MONTANASO LOMBARDO,CCGT,2005,"1x800, 1x400, 1x320",E. On,2365.464,,E.On,https://web.archive.org/web/20150128221727/http://www.eon-italia.com/en/business/generation/power-plants/tavazzano-and-montanaso.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002963,TENARIS DALMINE S.P.A.,Natural Gas,120,DALMINE,CCGT,2006,,Tenaris Dalmine,109,,Centro di Analisi Strutturale,http://www.ceas.it/eng/schede_pdf/industriale/26_ENGL%20SCHEDA%20DALMINE.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002964,TERMINI IMERESE C.LE,Natural Gas,"1,235",TERMINI IMERESE,CCGT,,,,3410.718,,Viver Energia,http://www.viverenergia.altervista.org/joomla/impianti-in-italia/29-centrale-termoelettrica-di-termini-imerese,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1021298,TERNI,Natural Gas,95,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002966,TOR DI VALLE,Natural Gas,223,ROMA,,,,GDF Suez,0,CHP,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002968,TORINO NORD,Natural Gas,395,TORINO,CCGT,,,Iren Energia,"2,127.36",,Iren Energy,http://www.irenenergia.it/ChiSiamo/Media/brochure/files/en/Iren_Energia_Torino_Nord_UK.pdf,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1021929,TORRENTE TONA,Natural Gas,11,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002970,TORREVALDALIGA South,Natural Gas,1488,CIVITAVECCHIA,CCGT,,"1x800, 1x400, 1x320",Tirreno,798.339,,Tirreno,http://www.tirrenopower.com/en/impianti-elettrici/torrevaldaliga-sud/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002971,TORVISCOSA,Natural Gas,785,TORVISCOSA,CCGT,2006,"2x250, 1x285",Edison,2027,,Edison,http://www.centraletorviscosa.it/go.asp?Id=4,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002972,TRAPANI C.LE,Natural Gas,213.4,TRAPANI,OCGT,,2x106.7,E On,100,,E On,https://web.archive.org/web/20140409020226/http://www.eon-italia.com/en/business/generation/power-plants/trapani.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002975,U.O. MIRAFIORI,Natural Gas,122,TORINO,,,,,49,,TERNA,http://www.terna.it/en-gb/sistemaelettrico/transparencyreport/generation/installedgenerationcapacity.aspx,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1021494,U.P. BARILLA PARMA,Natural Gas,35,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1021531,U.P. INTERECOGEN,Natural Gas,30,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1021476,UP_BRNSFIR_1,Natural Gas,37,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002976,VADO Ligure,Natural Gas,1353,QUILIANO,Sub-Critical Thermal and CCGT,2007,,Tirreno Power,1239.457,,Tirreno Power,http://www.tirrenopower.com/en/impianti-elettrici/vado-ligure/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,Coal,,,,,,,,,
