PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1022928,Lahanaght Hill,Wind,4.25,Cork,Onshore Wind,2006,5,,,V52,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022929,Largan Hill,Wind,5.9,Roscommon,Onshore Wind,2000,9,B9,,V47,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.9475,-8.55965,,,,,,,,,,,2016
1022930,Leitir Guingaid,Wind,40.9,Galway,Onshore Wind,2014,17,Invis Energy,,E82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022931,Lenanavea,Wind,4.5,Mayo,Onshore Wind,2010,5,,,E-44,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,53.9241,-9.35053,,,,,,,,,,,2016
1022932,Lisheen,Wind,54,Tipperary,Onshore Wind,2009,18,SWS,,V90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.7589,-7.71673,,,,,,,,,,,2016
1022933,Lisheen 1a,Wind,19,Tipperary,Onshore Wind,2013,12,Brookfield Renewable Energy,,V90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022824,Acres,Wind,17.5,Donegal,Onshore Wind,2015,6,Element Power/GE,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022825,Altagowlan,Wind,7.6,Roscommon,Onshore Wind,2005,9,,,G52/850,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,54.1222,-8.14862,,,,,,,,,,,2016
1022826,Anarget,Wind,1.2,Donegal,Onshore Wind,2004,2,,,E-40,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022827,Anarget Extension,Wind,0.9,Donegal,Onshore Wind,2007,1,,,E-44,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022828,Astellas,Wind,0.8,Kerry,Onshore Wind,2011,1,,,E-53,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022829,Athea,Wind,34.35,Limerick,Onshore Wind,2013,18,SSE Renewables,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022830,Ballincollig Hill,Wind,13.3,Kerry,Onshore Wind,2009,16,,,E-44 and E-48,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.3096,-9.58919,,,,,,,,,,,2016
