PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1025073,Soucia,Solar,3.3153,Soucia,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,46.5398,5.75829,,,,,,,,,,
1025074,Sorgues,Solar,3.30091,Sorgues,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.0151,4.86654,,,,,,,,,,
1025075,Clitourps,Wind,3.3,Clitourps,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.6513,-1.37188,,,,,,,,,,
1025076,Ferrassières,Solar,3.274,Ferrassières,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.1394,5.49047,,,,,,,,,,
1025077,Gap,Solar,3.26741,Gap,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.5804,6.06471,,,,,,,,,,
1025078,Fourchambault,Biomass,3.26,Fourchambault,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.0169,3.09016,,,,,,,,,,
1025079,Mudaison,Solar,3.2405,Mudaison,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6403,4.0359,,,,,,,,,,
1025080,Fougerolles-du-Plessis,Solar,3.23085,Fougerolles-du-Plessis,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.483,-0.9463,,,,,,,,,,
1025081,La Possession,Solar,3.22811,La Possession,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,-20.957411,55.683034,,,,,,,,,,
1025083,Auzat,Hydro,3.2,Auzat,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,42.7019,1.44317,,,,,,,,,,
